date,gt_regime
2025-08-13,NEUTRAL
2025-08-14,NEUTRAL
2025-08-18,NEUTRAL
2025-08-19,NEUTRAL
2025-08-20,NEUTRAL
2025-08-21,NEUTRAL
2025-08-22,NEUTRAL
2025-08-25,NEUTRAL
2025-08-26,NEUTRAL
2025-08-28,NEUTRAL
2025-08-29,NEUTRAL
2025-09-01,NEUTRAL
2025-09-02,NEUTRAL
2025-09-03,NEUTRAL
2025-09-04,NEUTRAL
2025-09-05,NEUTRAL
2025-09-08,NEUTRAL
2025-09-09,NEUTRAL
2025-09-10,NEUTRAL
2025-09-11,NEUTRAL
2025-09-12,NEUTRAL
2025-09-15,NEUTRAL
2025-09-16,NEUTRAL
2025-09-17,RISK_ON
2025-09-18,RISK_ON
2025-09-19,RISK_ON
2025-09-22,RISK_ON
2025-09-23,RISK_ON
2025-09-24,RISK_ON
2025-09-25,RISK_ON
2025-09-26,RISK_ON
2025-09-29,RISK_ON
2025-09-30,RISK_ON
2025-10-01,RISK_ON
2025-10-03,RISK_ON
2025-10-06,RISK_ON
2025-10-07,RISK_ON
2025-10-08,RISK_ON
2025-10-09,RISK_ON
2025-10-10,RISK_ON
2025-10-13,RISK_ON
2025-10-14,RISK_ON
2025-10-15,RISK_ON
2025-10-16,RISK_ON
2025-10-17,RISK_ON
2025-10-20,RISK_ON
2025-10-21,RISK_ON
2025-10-23,RISK_ON
2025-10-24,RISK_ON
2025-10-27,RISK_ON
2025-10-28,RISK_ON
2025-10-29,RISK_ON
2025-10-30,RISK_ON
2025-10-31,RISK_ON
2025-11-03,RISK_ON
2025-11-04,RISK_ON
2025-11-06,RISK_ON
2025-11-07,RISK_ON
2025-11-10,RISK_ON
2025-11-11,RISK_ON
2025-11-12,RISK_ON
2025-11-13,RISK_ON
2025-11-14,RISK_ON
2025-11-17,RISK_ON
2025-11-18,RISK_ON
2025-11-19,RISK_ON
2025-11-20,RISK_ON
2025-11-21,RISK_ON
2025-11-24,RISK_ON
2025-11-25,RISK_ON
2025-11-26,RISK_ON
2025-11-27,RISK_ON
2025-11-28,RISK_ON
2025-12-01,NEUTRAL
2025-12-02,NEUTRAL
2025-12-03,NEUTRAL
2025-12-04,NEUTRAL
2025-12-05,NEUTRAL
2025-12-08,NEUTRAL
2025-12-09,NEUTRAL
2025-12-10,NEUTRAL
2025-12-11,NEUTRAL
2025-12-12,NEUTRAL
2025-12-15,NEUTRAL
2025-12-16,NEUTRAL
2025-12-17,NEUTRAL
2025-12-18,NEUTRAL
2025-12-19,NEUTRAL
2025-12-22,NEUTRAL
2025-12-23,NEUTRAL
2025-12-24,NEUTRAL
2025-12-26,NEUTRAL
2025-12-29,NEUTRAL
2025-12-30,NEUTRAL
2025-12-31,NEUTRAL
2026-01-01,NEUTRAL
2026-01-02,NEUTRAL
2026-01-05,NEUTRAL
2026-01-06,NEUTRAL
2026-01-07,NEUTRAL
2026-01-08,NEUTRAL
2026-01-09,NEUTRAL
2026-01-12,NEUTRAL
2026-01-13,NEUTRAL
2026-01-14,NEUTRAL
2026-01-16,NEUTRAL
2026-01-19,RISK_OFF
2026-01-20,RISK_OFF
2026-01-21,RISK_OFF
2026-01-22,RISK_OFF
2026-01-23,RISK_OFF
2026-01-27,RISK_OFF
2026-01-28,RISK_OFF
2026-01-29,RISK_OFF
2026-01-30,RISK_OFF
2026-02-01,RISK_OFF
2026-02-02,RISK_OFF
2026-02-03,RISK_OFF
2026-02-04,RISK_OFF
2026-02-05,RISK_OFF
2026-02-06,RISK_OFF
2026-02-09,RISK_OFF
2026-02-10,RISK_OFF
2026-02-11,RISK_OFF
2026-02-12,RISK_OFF
2026-02-13,RISK_OFF
2026-02-16,RISK_OFF
2026-02-17,RISK_OFF
2026-02-18,RISK_OFF
2026-02-19,RISK_OFF
2026-02-20,RISK_OFF
2026-02-23,RISK_OFF
2026-02-24,RISK_OFF
2026-02-25,RISK_OFF
2026-02-26,RISK_OFF
2026-02-27,RISK_OFF
2026-03-02,RISK_OFF
2026-03-04,RISK_OFF
2026-03-05,RISK_OFF
2026-03-06,RISK_OFF
2026-03-09,RISK_OFF
2026-03-10,RISK_OFF
2026-03-11,RISK_OFF
2026-03-12,RISK_OFF
2026-03-13,RISK_OFF
2026-03-16,RISK_OFF
2026-03-17,RISK_OFF
2026-03-18,RISK_OFF
2026-03-19,RISK_OFF
2026-03-20,RISK_OFF
2026-03-23,RISK_OFF
2026-03-24,RISK_OFF
2026-03-25,RISK_OFF
2026-03-27,RISK_OFF
2026-03-30,RISK_OFF
2026-04-01,RISK_OFF
2026-04-02,RISK_OFF
2026-04-06,RISK_OFF
2026-04-07,RISK_OFF
2026-04-08,NEUTRAL
2026-04-09,NEUTRAL
2026-04-10,NEUTRAL
2026-04-13,NEUTRAL
2026-04-15,NEUTRAL
2026-04-16,NEUTRAL
2026-04-17,NEUTRAL
2026-04-20,NEUTRAL
2026-04-21,NEUTRAL
2026-04-22,NEUTRAL
2026-04-23,NEUTRAL
2026-04-24,NEUTRAL
2026-04-27,NEUTRAL
2026-04-28,NEUTRAL
2026-04-29,NEUTRAL
2026-04-30,NEUTRAL
2026-05-04,NEUTRAL
2026-05-05,NEUTRAL
2026-05-06,NEUTRAL
2026-05-07,NEUTRAL
2026-05-08,NEUTRAL
2026-05-11,NEUTRAL
2026-05-12,NEUTRAL
2026-05-13,NEUTRAL
2026-05-14,NEUTRAL
2026-05-15,NEUTRAL
2026-05-18,NEUTRAL
2026-05-19,NEUTRAL
2026-05-20,NEUTRAL
2026-05-21,NEUTRAL
2026-05-22,NEUTRAL
2026-05-25,NEUTRAL
2026-05-26,NEUTRAL
2026-05-27,NEUTRAL
2026-05-29,NEUTRAL
